order_id,order_date,customer_id,product_id,region,warehouse_id,order_status,ordered_quantity,fulfilled_quantity,net_sales_amount,cost_of_goods_sold,inventory_value
1,2025-12-28,C1,P1,East,W1,Completed,10,10,100.00,60.00,500.00
2,2025-12-29,C1,P2,East,W1,Completed,10,5,120.00,70.00,450.00
3,2025-12-31,C2,P1,West,W2,Completed,20,10,200.00,120.00,400.00
4,2026-01-01,C2,P2,West,W2,Completed,10,0,80.00,50.00,420.00
5,2026-01-02,,P3,East,W1,Completed,5,5,,20.00,410.00
6,2026-01-04,C3,P3,North,W3,Pending,10,10,150.00,,390.00
7,2026-01-05,C3,P1,North,W3,Completed,15,12,180.00,100.00,380.00
8,2026-01-06,C4,P2,East,W1,Completed,0,0,90.00,50.00,370.00
9,2026-01-07,C4,P2,East,W1,Completed,8,8,110.00,60.00,360.00
10,2026-01-31,C5,P4,West,W2,Completed,12,6,160.00,90.00,350.00
11,2026-02-01,C5,P4,West,W2,Completed,6,6,70.00,40.00,340.00
12,2026-02-02,C6,P5,North,W3,Completed,4,2,60.00,30.00,330.00
