query_id,reference,databricks,snowflake,fabric,databricks_verdict,snowflake_verdict,fabric_verdict,origin,notes
Q01_overall_fill_rate,0.64,,,,,,,,
Q02_gross_margin,500.00,,,,,,,,
Q03_fill_rate_by_region,see reference.json,,,,,,,,
Q04_monthly_fill_rate,see reference.json,,,,,,,,
Q05_iso_week_order_count,see reference.json,,,,,,,,
Q06_empty_population_revenue,NULL,,,,,,,,
Q07_inventory_turnover,1.7610208816705336,,,,,,,,
Q08_unique_customers,6,,,,,,,,
Q09_completed_revenue_by_warehouse,see reference.json,,,,,,,,
Q10_nonadditive_rollup_check,Jan recompute=0.62; avg daily=0.66,,,,,,,,
